id,name,description
1a7d9e4e-1c57-488e-9b1e-d93c5b5a50fa,jacket,A warm and stylish outer layer for cold weather
3c5d77b8-2b95-4a74-baa5-8f8e62229b15,shirt,A classic button-up shirt suitable for both casual and formal wear
7b61df7e-d882-4f42-a2dc-f3a83a1fcb5d,coat,A long overcoat designed for warmth and elegance
8d9a2154-4b93-4b7f-a290-5c9e1d1d9f9e,top,A versatile women's top for everyday wear
bdf8a744-784c-4d8b-b29c-230cfbbdd71e,t-shirt,A comfortable cotton t-shirt perfect for casual outfits
1a7d9e4e-1c57-488e-9b1e-d93c5b5a50fb,skirt,A knee-length skirt made from soft fabric for a relaxed fit
c4e53b95-9c38-47da-8e04-cc5573a6e84f,dress,A flowy summer dress perfect for warm days and outdoor events
d7fc7328-8af3-4dc2-a2f6-dc47f2f86b9c,tops,A collection of casual and chic tops for all occasions
e67d4d34-9092-4794-8d91-d1e7e4d5b48c,sweater,A cozy knit sweater ideal for chilly weather
f84d7123-6cd9-4c6d-9b87-5485f6d8a1f4,pants,Comfortable and stylish pants suitable for work or weekend wear
